Booking Code,Name,Flight Code,Date,Checked In,Baggage Weight (kg),Baggage Volume (m^3)
DXBBA9590212247538,Courtney Stone,BA959,021224,Yes,12.02,0.53
DXBBA9590212244508,George Anderson,BA959,021224,No,32.44,1.45
DXBBA9590212244449,Jeffrey Cook,BA959,021224,Yes,21.6,1.3
DXBBA9590212246454,James Ponce,BA959,021224,Yes,15.19,1.36
DXBBA9590212244285,Mike Rodgers,BA959,021224,Yes,21.18,1.89
DXBBA9590212246704,Katelyn Lopez,BA959,021224,Yes,12.43,1.55
DXBBA9590212242184,Chloe Wilson,BA959,021224,Yes,5.47,0.84
DXBBA9590212243563,Carolyn Ramsey,BA959,021224,No,23.56,1.73
DXBBA9590212249831,Carrie Franco,BA959,021224,Yes,30.19,0.63
DXBBA9590212246346,Michael Gray,BA959,021224,Yes,25.4,1.53
DXBBA9590212249690,Lori King,BA959,021224,No,12.55,1.84
DXBBA9590212243777,Rachel Burgess,BA959,021224,No,30.97,2.03
DXBBA9590212241272,Eric Lee,BA959,021224,Yes,32.94,1.64
DXBBA9590212241128,Elizabeth Weaver,BA959,021224,No,29.27,0.95
DXBBA9590212243471,Michael Kane,BA959,021224,Yes,34.62,0.52
DXBBA9590212241991,Richard Fuller,BA959,021224,No,27.42,1.8
DXBBA9590212247616,Vincent Jones,BA959,021224,Yes,21.43,0.64
DXBBA9590212241258,Barbara Choi,BA959,021224,No,12.86,2.38
DXBBA9590212242356,Dana Martin,BA959,021224,Yes,8.09,2.07
DXBBA9590212244114,Cody Woods,BA959,021224,No,20.6,0.51
DXBBA9590212245849,Monica Schultz,BA959,021224,No,17.02,1.9
DXBBA9590212247747,Karen Mckee,BA959,021224,Yes,18.65,0.85
DXBBA9590212241505,Phillip Cabrera,BA959,021224,Yes,33.88,1.49
DXBBA9590212243836,Lisa Ellis,BA959,021224,Yes,24.21,1.32
DXBBA9590212241195,Laura Young,BA959,021224,No,27.93,1.86
DXBBA9590212241720,Anna Hanson,BA959,021224,Yes,5.08,1.92
DXBBA9590212248856,Kathryn Young,BA959,021224,Yes,14.72,1.53
DXBBA9590212246310,Eduardo Richardson,BA959,021224,Yes,33.49,2.29
DXBBA9590212245417,Michael Collier,BA959,021224,No,30.9,0.97
DXBBA9590212242251,Lisa Mcdowell,BA959,021224,Yes,32.0,1.25
DXBBA9590212249610,Bryan Castillo,BA959,021224,Yes,13.74,2.08
DXBBA9590212241331,Lisa Martinez,BA959,021224,No,34.69,1.86
DXBBA9590212245071,Heather Lee,BA959,021224,Yes,25.71,2.04
DXBBA9590212245452,Nancy May,BA959,021224,No,10.19,0.95
DXBBA9590212247745,Amanda Mason,BA959,021224,No,23.8,1.77
DXBBA9590212245546,Cynthia Collins,BA959,021224,Yes,29.29,0.68
DXBBA9590212247128,Anthony Hamilton,BA959,021224,No,7.97,0.93
DXBBA9590212245623,Christine Potter,BA959,021224,No,23.19,1.68
DXBBA9590212248116,Robert Diaz,BA959,021224,No,22.05,0.9
DXBBA9590212244123,Jose Rodriguez,BA959,021224,No,12.11,0.57
DXBBA9590212245035,Tammy Rodriguez,BA959,021224,Yes,28.02,1.19
DXBBA9590212241767,Timothy Velazquez,BA959,021224,No,33.71,0.61
DXBBA9590212248489,Zachary Silva,BA959,021224,No,23.51,2.22
DXBBA9590212249178,Veronica Curtis,BA959,021224,Yes,29.32,1.69
DXBBA9590212242245,Patrick Carter,BA959,021224,Yes,22.41,0.59
DXBBA9590212249749,Allen Hess,BA959,021224,Yes,20.19,0.93
DXBBA9590212246004,Joshua Velasquez,BA959,021224,No,23.66,1.86
DXBBA9590212244711,Nathaniel Jimenez,BA959,021224,No,29.44,0.87
DXBBA9590212246508,Amy King,BA959,021224,Yes,26.48,2.45
DXBBA9590212248341,Leonard Taylor,BA959,021224,No,29.17,1.94
DXBBA9590212247660,John Espinoza,BA959,021224,Yes,8.03,1.83
DXBBA9590212248037,Ryan Farrell,BA959,021224,No,17.7,1.37
DXBBA9590212249267,Andrew Bender,BA959,021224,No,5.47,2.41
DXBBA9590212243439,Angel Delgado,BA959,021224,No,26.38,0.72
DXBBA9590212247985,Rebecca Foley,BA959,021224,No,22.51,2.41
DXBBA9590212242897,Anthony Ward,BA959,021224,Yes,5.81,1.44
DXBBA9590212245011,Crystal Smith,BA959,021224,No,26.33,1.58
DXBBA9590212245423,Lisa Kidd,BA959,021224,No,18.82,1.5
DXBBA9590212243151,James Graham,BA959,021224,Yes,14.69,1.52
DXBBA9590212249522,Manuel Reeves,BA959,021224,Yes,10.45,2.15
DXBBA9590212241718,George Wilkinson,BA959,021224,No,11.51,1.04
DXBBA9590212249746,Collin Perez,BA959,021224,Yes,17.16,1.78
DXBBA9590212249343,Scott Acevedo,BA959,021224,Yes,34.76,0.61
DXBBA9590212249807,David Parker,BA959,021224,No,5.16,1.99
DXBBA9590212244042,Michele Ramirez,BA959,021224,Yes,20.39,1.7
DXBBA9590212243747,Tina Ortiz,BA959,021224,Yes,5.61,2.16
DXBBA9590212244988,James Barron,BA959,021224,Yes,32.02,2.35
DXBBA9590212243555,Michael Harrington,BA959,021224,Yes,21.61,0.73
DXBBA9590212241119,Robert Norris,BA959,021224,No,18.84,0.58
ICNCA1442509236995,John Hopkins,CA144,250923,Yes,9.06,0.82
ICNCA1442509232266,Maria Medina,CA144,250923,No,18.84,1.51
ICNCA1442509232709,Jeremy Gomez,CA144,250923,Yes,11.05,0.74
ICNCA1442509237266,Linda Gilmore,CA144,250923,Yes,15.12,2.02
ICNCA1442509238250,Sharon Perez,CA144,250923,Yes,27.98,1.23
ICNCA1442509231733,Michele Parker,CA144,250923,No,33.67,0.57
ICNCA1442509236375,Sonya Lloyd,CA144,250923,Yes,16.81,1.61
ICNCA1442509232331,Monique Harris,CA144,250923,Yes,12.97,1.53
ICNCA1442509235142,Clayton Smith,CA144,250923,Yes,24.84,1.64
ICNCA1442509233521,Alexander West,CA144,250923,Yes,9.2,2.32
ICNCA1442509235465,Richard Jenkins,CA144,250923,No,6.47,0.8
ICNCA1442509232044,Timothy Lawrence,CA144,250923,Yes,25.57,2.43
ICNCA1442509235661,Diana Ferguson,CA144,250923,No,25.09,1.39
ICNCA1442509231128,Timothy Johnson,CA144,250923,No,26.01,1.62
ICNCA1442509232709,Michael Stephenson,CA144,250923,No,33.06,1.29
ICNCA1442509235961,Erik White,CA144,250923,Yes,13.51,1.02
ICNCA1442509235552,Candace Nelson,CA144,250923,Yes,27.89,1.41
ICNCA1442509239379,Danielle Pruitt,CA144,250923,No,7.92,2.12
ICNCA1442509234343,Benjamin Vaughn,CA144,250923,No,9.43,0.6
ICNCA1442509234523,Allison Porter,CA144,250923,No,30.06,2.28
ICNCA1442509232283,William Taylor,CA144,250923,Yes,19.03,1.58
ICNCA1442509231759,Kayla Atkins,CA144,250923,No,10.65,1.9
ICNCA1442509231751,Philip Smith,CA144,250923,No,25.77,2.19
ICNCA1442509235613,John Jackson,CA144,250923,No,16.62,2.45
ICNCA1442509231680,Adam Bernard,CA144,250923,Yes,30.55,2.47
ICNCA1442509233706,Theresa Cobb,CA144,250923,Yes,15.76,2.18
ICNCA1442509236041,Vanessa Lewis,CA144,250923,No,7.5,1.85
ICNCA1442509232915,Stephanie Williams,CA144,250923,Yes,26.63,1.4
ICNCA1442509235358,Jason Mitchell,CA144,250923,Yes,7.38,0.84
ICNCA1442509232446,Jesus Harding,CA144,250923,No,30.49,2.28
ICNCA1442509232519,Heather Duncan,CA144,250923,No,6.2,1.25
ICNCA1442509237948,Cory Bryant DDS,CA144,250923,Yes,20.21,2.38
ICNCA1442509232279,Dr. Jessica Cobb,CA144,250923,No,17.82,0.82
ICNCA1442509238866,Robert Yang,CA144,250923,No,5.14,1.17
ICNCA1442509231775,Devin Perkins,CA144,250923,No,12.7,1.21
ICNCA1442509234169,Lindsay Prince,CA144,250923,No,21.81,1.02
ICNCA1442509234786,Nicholas Moore,CA144,250923,No,31.85,1.54
ICNCA1442509239355,John Fox,CA144,250923,No,27.8,0.72
ICNCA1442509236808,Carrie Carter,CA144,250923,No,13.2,2.28
ICNCA1442509238344,Lisa Klein,CA144,250923,Yes,14.89,0.93
ICNCA1442509235342,Jeffery Miller,CA144,250923,Yes,10.57,1.46
ICNCA1442509234845,Robert Allen,CA144,250923,No,27.96,1.65
ICNCA1442509232062,Mary Hunter,CA144,250923,No,30.59,0.74
ICNCA1442509233357,Andrew Smith,CA144,250923,No,6.01,2.1
ICNCA1442509235376,Kimberly Serrano,CA144,250923,No,7.53,1.25
ICNCA1442509236398,Sherry Alexander,CA144,250923,Yes,14.84,2.43
ICNCA1442509233270,Julia Walsh,CA144,250923,No,16.62,1.35
ICNCA1442509237193,Carrie Joyce,CA144,250923,No,18.12,1.81
ICNCA1442509235579,Charles Morton,CA144,250923,No,22.59,1.12
ICNCA1442509238471,Virginia Moran,CA144,250923,No,24.0,1.86
ICNCA1442509231438,Jamie Welch,CA144,250923,Yes,14.15,0.93
ICNCA1442509233147,Dennis Saunders,CA144,250923,Yes,31.96,0.58
ICNCA1442509232384,Michael Kidd,CA144,250923,No,7.78,1.37
ICNCA1442509235809,James Parsons,CA144,250923,Yes,6.81,1.43
ICNCA1442509238735,David Valenzuela,CA144,250923,No,20.36,1.62
ICNCA1442509234367,Nathaniel Page,CA144,250923,No,31.89,0.59
ICNCA1442509233572,Raymond Lewis,CA144,250923,No,17.11,2.11
ICNCA1442509233557,Heather Gardner,CA144,250923,No,17.55,1.62
ICNCA1442509232772,Colleen Villarreal,CA144,250923,No,31.42,1.74
ICNCA1442509234186,Gerald Anderson,CA144,250923,No,19.31,2.38
ICNCA1442509234272,Allison Murphy,CA144,250923,Yes,25.92,2.07
ICNCA1442509232145,Linda Hart,CA144,250923,Yes,9.28,2.41
ICNCA1442509238787,Jeffrey Warner,CA144,250923,No,18.95,2.42
ICNCA1442509233607,Kimberly Leach,CA144,250923,Yes,23.36,2.31
ICNCA1442509235852,David Solomon,CA144,250923,Yes,26.09,0.67
ICNCA1442509235581,John Anderson,CA144,250923,Yes,17.72,2.03
ICNCA1442509234838,Dr. Jennifer Barker,CA144,250923,Yes,10.01,1.97
ICNCA1442509233776,Jason Callahan,CA144,250923,No,10.85,1.28
ICNCA1442509236341,Michele Carpenter,CA144,250923,Yes,23.86,0.84
ICNCA1442509232201,Jessica Vasquez,CA144,250923,No,16.73,1.58
ICNCA1442509236894,Amanda Cordova,CA144,250923,No,11.22,2.03
ICNCA1442509237861,Brandon Williams,CA144,250923,No,10.29,2.4
ICNCA1442509237150,Jennifer Miller,CA144,250923,No,5.69,0.93
ICNCA1442509231798,Kenneth Greene,CA144,250923,Yes,8.98,1.6
ICNCA1442509234026,Bridget Munoz,CA144,250923,No,14.08,2.41
ICNCA1442509236371,Debbie Porter,CA144,250923,No,24.5,0.87
ICNCA1442509238434,Jamie Cunningham,CA144,250923,Yes,21.18,1.54
ICNCA1442509235283,Anna Johnson,CA144,250923,Yes,13.08,2.28
ICNCA1442509239948,Andrea Williams,CA144,250923,No,21.33,1.11
ICNCA1442509236024,Calvin Robinson,CA144,250923,Yes,30.74,1.25
ICNCA1442509234548,Melanie Robertson,CA144,250923,Yes,26.38,0.7
ICNCA1442509235704,Stephanie Butler,CA144,250923,Yes,17.01,0.93
ICNCA1442509239676,Philip Campbell,CA144,250923,Yes,14.29,2.21
ICNCA1442509233495,Carrie Ayala,CA144,250923,No,22.93,1.95
ICNCA1442509238936,Michael Lynch,CA144,250923,Yes,31.28,1.15
ICNCA1442509235309,Bobby Walsh,CA144,250923,Yes,15.78,0.7
ICNCA1442509232518,Mark Swanson,CA144,250923,Yes,28.38,0.67
ICNCA1442509231032,Misty Roberts,CA144,250923,Yes,25.74,1.96
ICNCA1442509237787,Brooke Collins,CA144,250923,Yes,13.38,1.59
ICNCA1442509236113,Susan Powell,CA144,250923,No,19.76,1.75
ICNCA1442509232069,Diane Tate,CA144,250923,Yes,34.05,1.25
ICNCA1442509233795,Anthony Donovan,CA144,250923,Yes,24.03,1.12
ICNCA1442509231892,Christopher Johnson,CA144,250923,No,13.43,2.17
ICNCA1442509239174,Linda Contreras,CA144,250923,No,9.9,2.28
ICNCA1442509232088,Rachel Burke,CA144,250923,No,11.48,0.76
ICNCA1442509236969,Lisa Clayton,CA144,250923,No,31.11,2.29
ICNCA1442509231804,Linda Aguilar,CA144,250923,Yes,12.5,2.33
ICNCA1442509235797,Crystal Duncan,CA144,250923,No,10.39,1.45
ICNCA1442509235002,Catherine Reyes,CA144,250923,No,15.21,0.88
ICNCA1442509231192,Joseph Smith,CA144,250923,No,9.64,1.78
ICNCA1442509238314,Chris Lewis,CA144,250923,No,12.41,1.55
ICNCA1442509239772,Kathleen Jones,CA144,250923,No,8.82,0.95
ICNCA1442509237293,Teresa Boyer,CA144,250923,Yes,33.76,2.06
ICNCA1442509236521,Jennifer Kelly,CA144,250923,Yes,16.87,2.3
ICNCA1442509236125,Victor Harrison,CA144,250923,No,9.47,1.3
ICNCA1442509233122,David Lewis,CA144,250923,No,31.25,1.24
ICNCA1442509236227,Joanne Moss,CA144,250923,Yes,25.28,0.64
ICNCA1442509235894,Maria Hall,CA144,250923,Yes,9.87,1.61
ICNCA1442509235453,Destiny Mcintosh,CA144,250923,Yes,11.54,1.68
ICNCA1442509232310,Jason Doyle,CA144,250923,No,12.27,0.81
ICNCA1442509239201,Patricia Harper,CA144,250923,Yes,18.08,2.47
ICNCA1442509235554,Beverly Wilson,CA144,250923,No,26.21,1.92
ICNCA1442509236131,Michael Estes,CA144,250923,No,17.89,1.94
ICNCA1442509236786,Ashley King,CA144,250923,No,5.49,2.45
ICNCA1442509236162,Wendy Casey,CA144,250923,Yes,8.29,1.96
ICNCA1442509231379,Ronald Gross,CA144,250923,No,23.97,1.69
ICNCA1442509234246,David Berry,CA144,250923,Yes,20.27,1.41
ICNCA1442509232269,Richard Brown,CA144,250923,Yes,8.64,0.51
ICNCA1442509233626,Stephanie Cook,CA144,250923,No,5.41,1.51
ICNCA1442509236794,Jason Jackson,CA144,250923,Yes,15.78,1.91
ICNCA1442509232855,April Chambers,CA144,250923,Yes,22.72,1.21
ICNCA1442509232193,Rebecca Alvarez MD,CA144,250923,No,22.65,1.52
ICNCA1442509237737,Christopher Tate,CA144,250923,No,6.77,2.33
ICNCA1442509235051,Matthew Vargas,CA144,250923,Yes,7.36,1.51
ICNCA1442509238237,Marcus Johnson,CA144,250923,No,31.04,2.32
ICNCA1442509235952,Kathleen Stone,CA144,250923,Yes,14.19,1.87
ICNCA1442509231210,Barbara Wood,CA144,250923,No,13.11,2.36
ICNCA1442509237819,Angela Miller,CA144,250923,Yes,33.74,1.38
ICNCA1442509236259,Arthur Humphrey,CA144,250923,No,33.11,1.13
ICNCA1442509233749,Kylie Norris,CA144,250923,No,16.42,1.69
ICNCA1442509231897,Diane Salazar,CA144,250923,No,33.68,2.03
ICNCA1442509232523,Lisa Wilson,CA144,250923,No,32.21,2.21
ICNCA1442509233264,Amber Reyes,CA144,250923,No,13.75,1.29
ICNCA1442509235128,Connie Vasquez,CA144,250923,No,29.41,1.09
ICNCA1442509235573,Taylor Roberts,CA144,250923,No,24.43,2.32
ICNCA1442509236102,Michelle Blake,CA144,250923,Yes,21.8,1.37
ICNCA1442509231290,Shannon Chan,CA144,250923,Yes,14.97,0.65
ICNCA1442509231965,Shaun Wade,CA144,250923,No,22.81,1.74
DXBCA6611808223903,Devin Robbins,CA661,180822,No,29.65,1.17
DXBCA6611808229508,Meghan Reynolds,CA661,180822,Yes,13.28,1.85
DXBCA6611808229216,William Bush,CA661,180822,Yes,10.39,0.69
DXBCA6611808225164,Christy Wong,CA661,180822,Yes,13.44,0.7
DXBCA6611808224523,Sean Blair,CA661,180822,No,6.14,0.73
DXBCA6611808225516,Hannah Maddox,CA661,180822,Yes,22.21,1.58
DXBCA6611808221469,Meagan Humphrey,CA661,180822,Yes,10.63,1.44
DXBCA6611808228369,Austin Johnson,CA661,180822,No,21.79,0.55
DXBCA6611808228070,Dean Hopkins,CA661,180822,No,26.75,1.57
DXBCA6611808229472,Tyler Jackson,CA661,180822,No,5.8,1.7
DXBCA6611808221334,Beth Martin,CA661,180822,Yes,12.6,1.92
DXBCA6611808226280,Traci Villarreal,CA661,180822,Yes,20.71,2.07
DXBCA6611808228093,Eric Ayala,CA661,180822,No,26.66,1.63
DXBCA6611808225872,Shelley Stevens,CA661,180822,No,15.94,2.43
DXBCA6611808221800,Heidi Williams,CA661,180822,Yes,32.16,1.3
DXBCA6611808223852,Amanda Bright,CA661,180822,No,11.12,2.05
DXBCA6611808229068,William Gordon,CA661,180822,Yes,31.33,2.32
DXBCA6611808228391,James Miller,CA661,180822,Yes,21.94,2.08
DXBCA6611808229625,Thomas Wright,CA661,180822,Yes,20.86,2.48
DXBCA6611808226470,Carol Boyer,CA661,180822,No,19.16,1.15
DXBCA6611808226533,Dillon Davies,CA661,180822,Yes,13.43,1.83
DXBCA6611808223351,Eddie Copeland,CA661,180822,Yes,18.2,0.72
DXBCA6611808228117,Harold Peterson,CA661,180822,Yes,23.09,1.27
DXBCA6611808225211,Valerie Arnold,CA661,180822,No,10.89,0.69
DXBCA6611808224142,Jeffery Meadows,CA661,180822,No,34.89,0.65
DXBCA6611808227830,Laurie Trujillo,CA661,180822,No,33.02,0.74
DXBCA6611808221619,Eric Evans,CA661,180822,No,6.59,2.11
DXBCA6611808223620,Jaime Goodman,CA661,180822,No,16.35,0.82
DXBCA6611808221463,Ashlee Oliver,CA661,180822,No,6.75,1.76
DXBCA6611808227093,Sarah Smith,CA661,180822,No,12.2,1.75
DXBCA6611808226762,Nancy Hall,CA661,180822,Yes,21.98,1.01
DXBCA6611808222980,Cody Ruiz,CA661,180822,Yes,21.24,0.73
DXBCA6611808222739,Richard Williams DDS,CA661,180822,Yes,33.88,2.4
DXBCA6611808225148,Judy Gillespie,CA661,180822,Yes,15.33,1.47
DXBCA6611808228957,Melissa Scott,CA661,180822,Yes,15.82,2.35
DXBCA6611808223699,Cole Palmer,CA661,180822,No,12.19,0.92
DXBCA6611808226302,Joseph Morales,CA661,180822,No,20.87,1.67
DXBCA6611808227245,Christopher Howell,CA661,180822,Yes,30.88,1.25
DXBCA6611808226300,Gabriel Forbes,CA661,180822,Yes,27.91,1.52
DXBCA6611808229632,Tonya Dawson,CA661,180822,No,26.73,0.79
DXBCA6611808227997,Fred Parsons,CA661,180822,Yes,13.76,1.12
DXBCA6611808228250,Hayley Russell,CA661,180822,No,9.91,1.75
DXBCA6611808222566,Jay Roberts,CA661,180822,No,20.83,1.41
DXBCA6611808221154,Kyle Clark,CA661,180822,Yes,25.65,0.54
DXBCA6611808225482,Sarah Smith,CA661,180822,No,33.37,0.92
DXBCA6611808223211,Katie Moore,CA661,180822,Yes,31.44,0.75
DXBCA6611808228550,Morgan Mendoza MD,CA661,180822,No,7.53,1.45
DXBCA6611808224262,Sharon Stephens,CA661,180822,Yes,31.06,2.42
DXBCA6611808222087,Tara Kaufman,CA661,180822,No,22.63,1.79
DXBCA6611808224033,Toni Calhoun,CA661,180822,No,27.72,1.55
DXBCA6611808228091,Adrienne Garcia MD,CA661,180822,No,31.87,2.18
DXBCA6611808221709,Michael Bautista,CA661,180822,Yes,23.13,2.25
DXBCA6611808221745,Frank Cole,CA661,180822,Yes,25.39,2.02
DXBCA6611808222391,Billy Cooke,CA661,180822,Yes,22.09,0.52
DXBCA6611808228240,Jason Rodriguez,CA661,180822,Yes,6.29,0.95
DXBCA6611808222026,Nicole Smith,CA661,180822,No,34.43,0.62
DXBCA6611808226076,Alyssa Martinez,CA661,180822,No,23.04,1.53
DXBCA6611808224286,Patricia Cook,CA661,180822,No,7.09,1.36
DXBCA6611808229365,Katherine Schneider,CA661,180822,No,33.42,0.61
DXBCA6611808224843,Kimberly Gonzales,CA661,180822,No,18.37,0.83
DXBCA6611808223638,Mr. Alan Perez IV,CA661,180822,Yes,24.19,1.24
DXBCA6611808223822,Jon Berger,CA661,180822,Yes,34.6,0.64
DXBCA6611808229176,John Prince,CA661,180822,Yes,26.6,1.2
DXBCA6611808227844,Brandi Pollard,CA661,180822,Yes,27.64,0.72
DXBCA6611808227704,Kathryn Butler,CA661,180822,Yes,30.35,0.61
DXBCA6611808222708,John Fleming,CA661,180822,Yes,17.72,0.95
DXBCA6611808222477,David Peterson Jr.,CA661,180822,Yes,8.61,0.8
DXBCA6611808229760,Corey Carter,CA661,180822,No,6.8,0.72
DXBCA6611808224729,Steven Andersen,CA661,180822,Yes,26.15,1.38
DXBCA6611808224872,Scott Hall,CA661,180822,Yes,25.74,0.95
DXBCA6611808222453,Roberta Edwards,CA661,180822,Yes,20.96,1.64
DXBCA6611808222639,Aimee Harper,CA661,180822,Yes,20.61,1.95
DXBCA6611808229889,Gabriel Wang,CA661,180822,No,21.02,1.01
DXBCA6611808224811,Virginia Mullins,CA661,180822,No,27.14,1.96
DXBCA6611808229063,Brittany Smith,CA661,180822,No,18.73,1.15
DXBCA6611808225029,Kristy Ortega,CA661,180822,Yes,15.99,0.75
DXBCA6611808223115,Hector Barton,CA661,180822,Yes,33.57,2.18
DXBCA6611808227659,Jessica Williamson,CA661,180822,No,5.41,1.77
DXBCA6611808228003,Lauren Moore,CA661,180822,No,20.1,2.25
DXBCA6611808221182,Ralph Odonnell,CA661,180822,No,14.08,1.46
DXBCA6611808222841,Michael Morales,CA661,180822,Yes,21.18,1.92
DXBCA6611808225421,Tammy Daniels,CA661,180822,No,23.83,0.6
DXBCA6611808221009,Heidi Wright,CA661,180822,No,23.65,0.83
DXBCA6611808229997,Austin Moore,CA661,180822,Yes,24.12,1.14
DXBCA6611808222336,Christine Forbes,CA661,180822,No,33.19,2.37
DXBCA6611808226136,Lisa Thompson,CA661,180822,Yes,22.35,2.38
DXBCA6611808221724,Aaron Williamson,CA661,180822,No,27.13,0.63
DXBCA6611808229148,Tasha Castaneda,CA661,180822,No,30.78,2.2
DXBCA6611808221327,Joshua Buchanan,CA661,180822,Yes,23.86,1.11
DXBCA6611808224862,Matthew Harper,CA661,180822,Yes,21.65,1.51
DXBCA6611808222769,Stacy Gross,CA661,180822,No,32.2,2.39
DXBCA6611808225642,Pamela Jackson DDS,CA661,180822,Yes,22.91,2.06
DXBCA6611808227691,Alyssa Osborne,CA661,180822,No,25.02,1.48
DXBCA6611808227439,Glenn Hale,CA661,180822,Yes,13.84,2.24
DXBCA6611808226672,Mark Nelson,CA661,180822,Yes,19.56,1.28
DXBCA6611808225472,Stephen Wood,CA661,180822,No,9.84,1.59
DXBCA6611808228117,Heather Santiago,CA661,180822,No,25.14,1.41
DXBCA6611808221863,Mrs. Jennifer Mcmahon,CA661,180822,No,11.25,1.83
DXBCA6611808226831,Dana Carlson,CA661,180822,Yes,23.01,1.6
DXBCA6611808229249,Jennifer Ryan,CA661,180822,Yes,19.01,2.36
DXBCA6611808226031,Tina Prince,CA661,180822,Yes,22.29,1.31
DXBCA6611808223289,Amanda Delacruz,CA661,180822,Yes,15.62,1.85
DXBCA6611808221598,Jacob Kim,CA661,180822,No,26.36,2.26
DXBCA6611808228887,Barbara Mason,CA661,180822,No,32.05,2.41
DXBCA6611808227271,Kelly Bryant,CA661,180822,Yes,23.51,1.2
DXBCA6611808229783,Terry Hebert,CA661,180822,No,24.21,1.42
DXBCA6611808221514,Tanya Bryant,CA661,180822,Yes,30.62,2.46
DXBCA6611808228639,Gary Green,CA661,180822,No,6.3,1.06
DXBCA6611808225995,Derrick Simpson,CA661,180822,Yes,33.58,0.9
DXBCA6611808223033,Maureen Doyle,CA661,180822,Yes,14.3,1.63
DXBCA6611808224784,Kenneth Cook,CA661,180822,Yes,5.13,0.8
DXBCA6611808227429,Seth Wilson,CA661,180822,Yes,12.69,1.08
DXBCA6611808224869,William Wood,CA661,180822,Yes,13.49,1.57
DXBCA6611808228138,Nicholas Valdez,CA661,180822,No,5.28,0.65
DXBCA6611808225547,John Collins,CA661,180822,No,33.98,1.49
DXBCA6611808223905,Jonathan Payne,CA661,180822,Yes,26.25,1.24
DXBCA6611808223753,Patricia Carney,CA661,180822,No,13.21,1.52
DXBCA6611808226857,Ana Carter,CA661,180822,No,30.15,0.62
